source_lang,source_term,ko_term,category
en,jab,잽,기술
en,cross,크로스,기술
en,hook,훅,기술
en,uppercut,어퍼컷,기술
en,straight,스트레이트,기술
en,overhand,오버핸드,기술
en,roundhouse kick,라운드하우스 킥,기술
en,leg kick,로우킥,기술
en,front kick,프론트 킥,기술
en,teep,팁,기술
en,knee strike,니 스트라이크,기술
en,elbow strike,엘보 스트라이크,기술
en,clinch,클린치,상황
en,plum clinch,플럼 클린치,상황
en,counter,카운터,개념
en,combo,콤보,개념
en,feint,페인트,개념
en,slip,슬립,방어
en,bob and weave,밥 앤 위브,방어
en,parry,패리,방어
en,block,블록,방어
en,check,체크,방어
en,distance,거리,개념
en,timing,타이밍,개념
en,footwork,풋워크,개념
en,stance,스탠스,개념
en,southpaw,사우스포,스탠스
en,orthodox,오소독스,스탠스
